"Date","Price","Open","High","Low","Change %"
"02/26/2025","1.760","1.803","1.803","1.751","-0.56%"
"02/25/2025","1.770","1.840","1.840","1.759","-0.56%"
"02/24/2025","1.780","1.810","1.823","1.769","2.30%"
"02/21/2025","1.740","1.760","1.760","1.720","1.99%"
"02/20/2025","1.706","1.725","1.725","1.692","0.77%"
"02/19/2025","1.693","1.740","1.740","1.686","-1.23%"
"02/18/2025","1.714","1.735","1.736","1.689","2.02%"
"02/17/2025","1.680","1.700","1.700","1.666","1.57%"
"02/14/2025","1.654","1.670","1.670","1.631","0.92%"
"02/13/2025","1.639","1.678","1.678","1.631","0.06%"
"02/12/2025","1.638","1.668","1.668","1.623","-0.12%"
"02/11/2025","1.640","1.675","1.675","1.626","1.05%"
"02/10/2025","1.623","1.645","1.645","1.616","0.81%"
"02/08/2025","1.610","1.648","1.648","1.608","-0.19%"
"02/07/2025","1.613","1.640","1.640","1.595","-0.86%"
"02/06/2025","1.627","1.660","1.660","1.610","-0.06%"
"02/05/2025","1.628","1.670","1.670","1.622","-1.51%"
"01/27/2025","1.653","1.700","1.700","1.627","0.18%"
"01/26/2025","1.650","1.695","1.695","1.650","1.10%"
"01/24/2025","1.632","1.700","1.700","1.614","-2.10%"
"01/23/2025","1.667","1.705","1.705","1.650","0.36%"
"01/22/2025","1.661","1.685","1.685","1.643","-0.24%"
"01/21/2025","1.665","1.755","1.755","1.648","0.00%"
"01/20/2025","1.665","1.700","1.705","1.661","0.60%"
"01/17/2025","1.655","1.688","1.688","1.629","-0.18%"
"01/16/2025","1.658","1.669","1.669","1.652","0.30%"
"01/15/2025","1.653","1.661","1.661","1.629","-0.18%"
"01/14/2025","1.656","1.704","1.704","1.643","-0.12%"
"01/13/2025","1.658","1.685","1.685","1.637","1.41%"
"01/10/2025","1.635","1.644","1.654","1.626","0.12%"
"01/09/2025","1.633","1.665","1.646","1.601","1.55%"
"01/08/2025","1.608","1.628","1.628","1.601","-0.25%"
"01/07/2025","1.612","1.624","1.624","1.604","0.31%"
"01/06/2025","1.607","1.640","1.640","1.588","0.00%"
"01/03/2025","1.607","1.655","1.655","1.586","-0.37%"
"01/02/2025","1.613","1.700","1.700","1.608","-3.99%"
